Problems,Time_Solver-Pypy
10_50_1_1_5,0.0006229877471923828
10_50_1_2_5,0.005739450454711914
10_50_1_3_5,0.004786014556884766
10_50_1_4_5,0.004012107849121094
10_50_1_5_5,0.0024352073669433594
10_50_2_1_5,0.0011413097381591797
10_50_2_2_5,0.004411935806274414
10_50_2_3_5,0.0049517154693603516
10_50_2_4_5,0.003210783004760742
10_50_2_5_5,0.0025663375854492188
10_50_3_1_5,0.00017023086547851562
10_50_3_2_5,0.00019121170043945312
10_50_3_3_5,0.00018715858459472656
10_50_3_4_5,0.00020170211791992188
10_50_3_5_5,0.00022149085998535156
10_50_4_1_5,0.00016808509826660156
10_50_4_2_5,0.00018095970153808594
10_50_4_3_5,0.00018525123596191406
10_50_4_4_5,0.0002014636993408203
10_50_4_5_5,0.00022339820861816406
10_100_1_1_5,0.004908561706542969
10_100_1_2_5,0.009348154067993164
10_100_1_3_5,0.0015714168548583984
10_100_1_4_5,0.0014455318450927734
10_100_1_5_5,0.00035119056701660156
10_100_2_1_5,0.000324249267578125
10_100_2_2_5,0.0011105537414550781
10_100_2_3_5,0.00018262863159179688
10_100_2_4_5,0.0009264945983886719
10_100_2_5_5,0.00036835670471191406
10_100_3_1_5,0.00028586387634277344
10_100_3_2_5,0.0001990795135498047
10_100_3_3_5,0.00019884109497070312
10_100_3_4_5,0.0003159046173095703
10_100_3_5_5,0.0003616809844970703
10_100_4_1_5,0.0001537799835205078
10_100_4_2_5,0.00019860267639160156
10_100_4_3_5,0.00019621849060058594
10_100_4_4_5,0.0003192424774169922
10_100_4_5_5,0.0004329681396484375
10_500_1_1_5,0.0009186267852783203
10_500_1_2_5,0.0004448890686035156
10_500_1_3_5,0.002622365951538086
10_500_1_4_5,0.0015189647674560547
10_500_1_5_5,0.001728057861328125
10_500_2_1_5,0.0006899833679199219
10_500_2_2_5,0.00047326087951660156
10_500_2_3_5,0.0012803077697753906
10_500_2_4_5,0.0016491413116455078
10_500_2_5_5,0.0018379688262939453
10_500_3_1_5,0.0005304813385009766
10_500_3_2_5,0.000598907470703125
10_500_3_3_5,0.0043332576751708984
10_500_3_4_5,0.0035419464111328125
10_500_3_5_5,0.0016925334930419922
10_500_4_1_5,0.00035119056701660156
10_500_4_2_5,0.0004620552062988281
10_500_4_3_5,0.0012731552124023438
10_500_4_4_5,0.002111196517944336
10_500_4_5_5,0.0016102790832519531
10_1000_1_1_5,0.0013613700866699219
10_1000_1_2_5,0.0013492107391357422
10_1000_1_3_5,0.0014638900756835938
10_1000_1_4_5,0.002172231674194336
10_1000_1_5_5,0.004422664642333984
10_1000_2_1_5,0.003226757049560547
10_1000_2_2_5,0.0014736652374267578
10_1000_2_3_5,0.001691579818725586
10_1000_2_4_5,0.0028808116912841797
10_1000_2_5_5,0.0035276412963867188
10_1000_3_1_5,0.0005543231964111328
10_1000_3_2_5,0.001527547836303711
10_1000_3_3_5,0.0025343894958496094
10_1000_3_4_5,0.004305839538574219
10_1000_3_5_5,0.00620579719543457
10_1000_4_1_5,0.0005483627319335938
10_1000_4_2_5,0.0016257762908935547
10_1000_4_3_5,0.0014142990112304688
10_1000_4_4_5,0.002846956253051758
10_1000_4_5_5,0.002666950225830078
50_50_1_1_5,0.016553401947021484
50_50_1_2_5,0.003011465072631836
50_50_1_3_5,0.0018186569213867188
50_50_1_4_5,0.002237558364868164
50_50_1_5_5,0.004334211349487305
50_50_2_1_5,0.0006225109100341797
50_50_2_2_5,0.0014519691467285156
50_50_2_3_5,0.0016834735870361328
50_50_2_4_5,0.0031707286834716797
50_50_2_5_5,0.0056645870208740234
50_50_3_1_5,0.000492095947265625
50_50_3_2_5,0.0011868476867675781
50_50_3_3_5,0.0018775463104248047
50_50_3_4_5,0.0025587081909179688
50_50_3_5_5,0.0031690597534179688
50_50_4_1_5,0.0007038116455078125
50_50_4_2_5,0.0013799667358398438
50_50_4_3_5,0.0015790462493896484
50_50_4_4_5,0.001968860626220703
50_50_4_5_5,0.0028095245361328125
50_100_1_1_5,0.0014219284057617188
50_100_1_2_5,0.0023200511932373047
50_100_1_3_5,0.0026254653930664062
50_100_1_4_5,0.003943443298339844
50_100_1_5_5,0.005211591720581055
50_100_2_1_5,0.001455068588256836
50_100_2_2_5,0.002613067626953125
50_100_2_3_5,0.0028884410858154297
50_100_2_4_5,0.004155158996582031
50_100_2_5_5,0.0053441524505615234
50_100_3_1_5,0.0009613037109375
50_100_3_2_5,0.002410888671875
50_100_3_3_5,0.0029714107513427734
50_100_3_4_5,0.004762172698974609
50_100_3_5_5,0.005557060241699219
50_100_4_1_5,0.0014634132385253906
50_100_4_2_5,0.0025255680084228516
50_100_4_3_5,0.0028705596923828125
50_100_4_4_5,0.0045092105865478516
50_100_4_5_5,0.005456686019897461
50_500_1_1_5,0.009163379669189453
50_500_1_2_5,0.012228727340698242
50_500_1_3_5,0.014066696166992188
50_500_1_4_5,0.018425941467285156
50_500_1_5_5,0.01895928382873535
50_500_2_1_5,0.005686283111572266
50_500_2_2_5,0.010924339294433594
50_500_2_3_5,0.015310525894165039
50_500_2_4_5,0.019004344940185547
50_500_2_5_5,0.07299423217773438
50_500_3_1_5,0.007687091827392578
50_500_3_2_5,0.01012277603149414
50_500_3_3_5,0.01275324821472168
50_500_3_4_5,0.018453121185302734
50_500_3_5_5,0.020797014236450195
50_500_4_1_5,0.005270242691040039
50_500_4_2_5,0.009215593338012695
50_500_4_3_5,0.012288570404052734
50_500_4_4_5,0.020510196685791016
50_500_4_5_5,0.07122159004211426
50_1000_1_1_5,0.014584064483642578
50_1000_1_2_5,0.01988053321838379
50_1000_1_3_5,0.029736995697021484
50_1000_1_4_5,0.035904645919799805
50_1000_1_5_5,0.08879470825195312
50_1000_2_1_5,0.013706684112548828
50_1000_2_2_5,0.019617319107055664
50_1000_2_3_5,0.02989959716796875
50_1000_2_4_5,0.03611493110656738
50_1000_2_5_5,0.04193472862243652
50_1000_3_1_5,0.011685848236083984
50_1000_3_2_5,0.026724576950073242
50_1000_3_3_5,0.02796173095703125
50_1000_3_4_5,0.035260915756225586
50_1000_3_5_5,0.08648324012756348
50_1000_4_1_5,0.015674114227294922
50_1000_4_2_5,0.019495248794555664
50_1000_4_3_5,0.02639007568359375
50_1000_4_4_5,0.03552603721618652
50_1000_4_5_5,0.04617571830749512
100_50_1_1_5,0.0020706653594970703
100_50_1_2_5,0.005865812301635742
100_50_1_3_5,0.00675654411315918
100_50_1_4_5,0.019095897674560547
100_50_1_5_5,0.017352819442749023
100_50_2_1_5,0.002801179885864258
100_50_2_2_5,0.003778219223022461
100_50_2_3_5,0.005747079849243164
100_50_2_4_5,0.006490468978881836
100_50_2_5_5,0.009814977645874023
100_50_3_1_5,0.002164602279663086
100_50_3_2_5,0.004001140594482422
100_50_3_3_5,0.005434513092041016
100_50_3_4_5,0.007221221923828125
100_50_3_5_5,0.00852513313293457
100_50_4_1_5,0.001874685287475586
100_50_4_2_5,0.003696918487548828
100_50_4_3_5,0.004827022552490234
100_50_4_4_5,0.006782054901123047
100_50_4_5_5,0.008516311645507812
100_100_1_1_5,0.0041751861572265625
100_100_1_2_5,0.007054805755615234
100_100_1_3_5,0.009368658065795898
100_100_1_4_5,0.013891458511352539
100_100_1_5_5,0.01827383041381836
100_100_2_1_5,0.00738072395324707
100_100_2_2_5,0.010432243347167969
100_100_2_3_5,0.010230064392089844
100_100_2_4_5,0.014172077178955078
100_100_2_5_5,0.017787456512451172
100_100_3_1_5,0.0038640499114990234
100_100_3_2_5,0.007685661315917969
100_100_3_3_5,0.010004043579101562
100_100_3_4_5,0.014388561248779297
100_100_3_5_5,0.017582178115844727
100_100_4_1_5,0.0038251876831054688
100_100_4_2_5,0.006694316864013672
100_100_4_3_5,0.009632349014282227
100_100_4_4_5,0.013570785522460938
100_100_4_5_5,0.06918716430664062
100_500_1_1_5,0.021444082260131836
100_500_1_2_5,0.04038214683532715
100_500_1_3_5,0.06183815002441406
100_500_1_4_5,0.12503814697265625
100_500_1_5_5,0.14213156700134277
100_500_2_1_5,0.023001909255981445
100_500_2_2_5,0.040900468826293945
100_500_2_3_5,0.05855059623718262
100_500_2_4_5,0.1305830478668213
100_500_2_5_5,0.08744668960571289
100_500_3_1_5,0.019839048385620117
100_500_3_2_5,0.03581690788269043
100_500_3_3_5,0.10152149200439453
100_500_3_4_5,0.06594228744506836
100_500_3_5_5,0.1368563175201416
100_500_4_1_5,0.01801466941833496
100_500_4_2_5,0.03287792205810547
100_500_4_3_5,0.04854702949523926
100_500_4_4_5,0.11956787109375
100_500_4_5_5,0.07671022415161133
100_1000_1_1_5,0.04206562042236328
100_1000_1_2_5,0.13269758224487305
100_1000_1_3_5,0.11911439895629883
